cohort,is_clinical,scheme,rule,rule_label,n_test,prevalence,n_levels_admitted,n_partitions_usable,observed_gap,null_mean,null_median,null_sd,null_skew,null_p95_mde,null_frac_below_own_mean,p_value,p_mc_se,p_report,p_is_floor,n_reps,exceeds_null_p95,exceeds_null_median,p_holm,p_bh,sig_raw,sig_holm,sig_bh
diabetes130,True,independent,m50,n >= 50,19890,0.1159376571141277,16,3,0.21604857190810645,0.15566766757699457,0.1474386844166951,0.05780028833520488,0.7790881723775978,0.2630055194262145,0.5546,0.15028497150284972,0.003572673508732641,0.1503,False,10000,False,True,0.9017098290170984,0.2818518148185182,False,False,False
diabetes130,True,independent,m100,n >= 100,19890,0.1159376571141277,15,3,0.21604857190810645,0.1256927358331857,0.11786576898315426,0.047753371108560747,0.8834879591792322,0.21730693291692846,0.5665,0.0514948505149485,0.002208122279222779,0.0515,False,10000,False,True,0.2574742525747425,0.09439056094390562,False,False,False
diabetes130,True,independent,ev10,n_pos >= 10 and n_neg >= 10,19890,0.1159376571141277,15,3,0.21604857190810645,0.1256927358331857,0.11786576898315426,0.047753371108560747,0.8834879591792322,0.21730693291692846,0.5665,0.0514948505149485,0.002208122279222779,0.0515,False,10000,False,True,0.308969103089691,0.09953004699530046,False,False,False
diabetes130,True,joint,m20,n >= 20,19890,0.1159376571141277,16,3,0.21604857190810645,0.15629664490348588,0.14805158691761267,0.058057224972015084,0.765536943946131,0.26492134402987916,0.5552,0.15398460153984603,0.0036085286475238077,0.1540,False,10000,False,True,0.9239076092390761,0.29715028497150286,False,False,False
diabetes130,True,joint,m30,n >= 30 (published default),19890,0.1159376571141277,16,3,0.21604857190810645,0.15629664490348588,0.14805158691761267,0.058057224972015084,0.765536943946131,0.26492134402987916,0.5552,0.15398460153984603,0.0036085286475238077,0.1540,False,10000,False,True,0.9239076092390761,0.29715028497150286,False,False,False
diabetes130,True,joint,m50,n >= 50,19890,0.1159376571141277,16,3,0.21604857190810645,0.15629664490348588,0.14805158691761267,0.058057224972015084,0.765536943946131,0.26492134402987916,0.5552,0.15398460153984603,0.0036085286475238077,0.1540,False,10000,False,True,0.9239076092390761,0.29715028497150286,False,False,False
diabetes130,True,joint,m100,n >= 100,19890,0.1159376571141277,15,3,0.21604857190810645,0.12551365172062645,0.11764855156035231,0.047516176604822255,0.8970510282735363,0.21661454041048292,0.5674,0.050594940505949405,0.0021897431356211624,0.0506,False,10000,False,True,0.252974702529747,0.1003099690030997,False,False,False
diabetes130,True,joint,ev10,n_pos >= 10 and n_neg >= 10,19890,0.1159376571141277,15,3,0.21604857190810645,0.12551365172062645,0.11764855156035231,0.047516176604822255,0.8970510282735363,0.21661454041048292,0.5674,0.050594940505949405,0.0021897431356211624,0.0506,False,10000,False,True,0.30356964303569645,0.10348965103489652,False,False,False
nhis2024,True,independent,m20,n >= 20,1950,0.07487179487179488,19,5,0.3279162152401589,0.21129335760268464,0.1960093896713615,0.07806311512486405,1.2437695243553661,0.364292557671611,0.5848,0.08499150084991501,0.0027873282906754992,0.0850,False,10000,False,True,0.5949405059494051,0.254974502549745,False,False,False
nhis2024,True,independent,m30,n >= 30 (published default),1950,0.07487179487179488,19,5,0.3279162152401589,0.21129335760268464,0.1960093896713615,0.07806311512486405,1.2437695243553661,0.364292557671611,0.5848,0.08499150084991501,0.0027873282906754992,0.0850,False,10000,False,True,0.5949405059494051,0.254974502549745,False,False,False
nhis2024,True,independent,m50,n >= 50,1950,0.07487179487179488,19,5,0.3279162152401589,0.21129335760268464,0.1960093896713615,0.07806311512486405,1.2437695243553661,0.364292557671611,0.5848,0.08499150084991501,0.0027873282906754992,0.0850,False,10000,False,True,0.5949405059494051,0.254974502549745,False,False,False
nhis2024,True,independent,m100,n >= 100,1950,0.07487179487179488,18,5,0.3279162152401589,0.19300038690280466,0.1767239710309852,0.07495652947062115,1.3225876336925269,0.33932127889022484,0.5877,0.058994100589941006,0.0023543744392088527,0.0590,False,10000,False,True,0.2574742525747425,0.09439056094390562,False,False,False
nhis2024,True,independent,ev10,n_pos >= 10 and n_neg >= 10,1950,0.07487179487179488,14,4,0.18094033051444747,0.10443936886257629,0.09996147780065462,0.032840455973035365,0.8920468065813457,0.16548565192429518,0.5589,0.027997200279972004,0.0016468633823119633,0.0280,False,10000,True,True,0.19598040195980404,0.08399160083991601,True,False,False
nhis2024,True,joint,m20,n >= 20,1950,0.07487179487179488,19,5,0.3279162152401589,0.21005652236797367,0.19304852365308967,0.07903467637303292,1.274866583115412,0.3655900144456478,0.5964,0.08739126087391261,0.002822741752268528,0.0874,False,10000,False,True,0.6117388261173883,0.26217378262173785,False,False,False
nhis2024,True,joint,m30,n >= 30 (published default),1950,0.07487179487179488,19,5,0.3279162152401589,0.21005652236797367,0.19304852365308967,0.07903467637303292,1.274866583115412,0.3655900144456478,0.5964,0.08739126087391261,0.002822741752268528,0.0874,False,10000,False,True,0.6117388261173883,0.26217378262173785,False,False,False
nhis2024,True,joint,m50,n >= 50,1950,0.07487179487179488,19,5,0.3279162152401589,0.21005652236797367,0.19304852365308967,0.07903467637303292,1.274866583115412,0.3655900144456478,0.5964,0.08739126087391261,0.002822741752268528,0.0874,False,10000,False,True,0.6117388261173883,0.26217378262173785,False,False,False
nhis2024,True,joint,m100,n >= 100,1950,0.07487179487179488,18,5,0.3279162152401589,0.19239528422784297,0.17553193869449818,0.07557749679519651,1.26493983867051,0.3429914384938132,0.594,0.06269373062693731,0.002422421102946389,0.0627,False,10000,False,True,0.252974702529747,0.1003099690030997,False,False,False
nhis2024,True,joint,ev10,n_pos >= 10 and n_neg >= 10,1950,0.07487179487179488,14,4,0.18094033051444747,0.1041705397615706,0.10051537784069497,0.03255930753488941,0.8346331678282342,0.16358717406062326,0.5487,0.0244975502449755,0.0015428752379891253,0.0245,False,10000,True,True,0.17148285171482852,0.0734926507349265,True,False,False
nhis2023,True,independent,m20,n >= 20,5423,0.11174626590448092,15,4,0.12900378310214378,0.18760324921890797,0.17121144298024316,0.08297862638618111,1.2389109933806552,0.34570755832282457,0.589,0.7557244275572442,0.004296713976982875,0.7557,False,10000,False,False,1.0,0.8501899810018998,False,False,False
nhis2023,True,independent,m30,n >= 30 (published default),5423,0.11174626590448092,15,4,0.12900378310214378,0.18760324921890797,0.17121144298024316,0.08297862638618111,1.2389109933806552,0.34570755832282457,0.589,0.7557244275572442,0.004296713976982875,0.7557,False,10000,False,False,1.0,0.8501899810018998,False,False,False
nhis2023,True,independent,m50,n >= 50,5423,0.11174626590448092,13,4,0.12801324625766863,0.10120934832829281,0.09258525561918896,0.044874574913703974,1.350838978023603,0.18413962863383593,0.5815,0.22397760223977603,0.004168558383902041,0.2240,False,10000,False,True,0.9017098290170984,0.33596640335966405,False,False,False
nhis2023,True,independent,m100,n >= 100,5423,0.11174626590448092,12,4,0.12801324625766863,0.06773109590471939,0.06468387221019056,0.024532002480729224,0.8724753241152493,0.11227590659629151,0.5547,0.0187981201879812,0.0013546331606748745,0.0188,False,10000,True,True,0.11278872112788721,0.0501283205012832,True,False,False
nhis2023,True,independent,ev10,n_pos >= 10 and n_neg >= 10,5423,0.11174626590448092,12,4,0.12801324625766863,0.06773109590471939,0.06468387221019056,0.024532002480729224,0.8724753241152493,0.11227590659629151,0.5547,0.0187981201879812,0.0013546331606748745,0.0188,False,10000,True,True,0.1503849615038496,0.08399160083991601,True,False,False
nhis2023,True,joint,m20,n >= 20,5423,0.11174626590448092,15,4,0.12900378310214378,0.18689802581184825,0.17053412612413743,0.08523201982000081,1.3166118062940635,0.351923295544885,0.5885,0.7422257774222578,0.0043742331899431245,0.7422,False,10000,False,False,1.0,0.83500399960004,False,False,False
nhis2023,True,joint,m30,n >= 30 (published default),5423,0.11174626590448092,15,4,0.12900378310214378,0.18689802581184825,0.17053412612413743,0.08523201982000081,1.3166118062940635,0.351923295544885,0.5885,0.7422257774222578,0.0043742331899431245,0.7422,False,10000,False,False,1.0,0.83500399960004,False,False,False
nhis2023,True,joint,m50,n >= 50,5423,0.11174626590448092,13,4,0.12801324625766863,0.10105075187731676,0.09257297406570042,0.04501309722892178,1.3622563377851356,0.1839926210498069,0.581,0.2243775622437756,0.004171204981776849,0.2244,False,10000,False,True,0.9239076092390761,0.33656634336566343,False,False,False
nhis2023,True,joint,m100,n >= 100,5423,0.11174626590448092,12,4,0.12801324625766863,0.06765880070638856,0.06448095873024895,0.024389971940661913,0.8165050908911365,0.11234173515103377,0.5546,0.0178982101789821,0.0013222390101641987,0.0179,False,10000,True,True,0.1073892610738926,0.0477285604772856,True,False,True
nhis2023,True,joint,ev10,n_pos >= 10 and n_neg >= 10,5423,0.11174626590448092,12,4,0.12801324625766863,0.06765880070638856,0.06448095873024895,0.024389971940661913,0.8165050908911365,0.11234173515103377,0.5546,0.0178982101789821,0.0013222390101641987,0.0179,False,10000,True,True,0.1431856814318568,0.0734926507349265,True,False,False
nhanes2123,True,independent,m20,n >= 20,820,0.13048780487804879,13,4,0.07484407484407485,0.06830974380799207,0.06260862403067746,0.024808768429748662,1.4800493186119565,0.11581195788747421,0.5959,0.3097690230976902,0.00462369884399925,0.3098,False,10000,False,True,1.0,0.4318282457468539,False,False,False
nhanes2123,True,independent,m30,n >= 30 (published default),820,0.13048780487804879,13,4,0.07484407484407485,0.06830974380799207,0.06260862403067746,0.024808768429748662,1.4800493186119565,0.11581195788747421,0.5959,0.3097690230976902,0.00462369884399925,0.3098,False,10000,False,True,1.0,0.4318282457468539,False,False,False
nhanes2123,True,independent,m50,n >= 50,820,0.13048780487804879,13,4,0.07484407484407485,0.06830974380799207,0.06260862403067746,0.024808768429748662,1.4800493186119565,0.11581195788747421,0.5959,0.3097690230976902,0.00462369884399925,0.3098,False,10000,False,True,0.9293070692930707,0.3778497150284971,False,False,False
nhanes2123,True,independent,m100,n >= 100,820,0.13048780487804879,8,2,0.07484407484407485,0.046730621988490956,0.0430812373127511,0.019559188633958426,1.3544275082491666,0.08521272457809355,0.5902,0.0846915308469153,0.0027828553681425844,0.0847,False,10000,False,True,0.2574742525747425,0.0967903209679032,False,False,False
