cohort,cohort_label,is_clinical,n_test,rule,partition,n_levels_admissible,level_max_auc,level_min_auc,observed_auc_gap,boot_gap_lo95,boot_gap_hi95,boot_gap_mean,boot_gap_mean_selection,mbc_gap_aligned,mbc_gap_aligned_recalibrated,mbc_gap_maxmin,residual_gap,residual_gap_lo95,residual_gap_hi95,residual_gap_mc_se_lo95,residual_gap_mc_se_hi95,residual_gap_recalibrated,residual_gap_recalibrated_lo95,residual_gap_recalibrated_hi95,fraction_reportable,casemix_attributable_fraction,casemix_attributable_fraction_lo95,casemix_attributable_fraction_hi95,casemix_attributable_fraction_mc_se_lo95,casemix_attributable_fraction_mc_se_hi95,casemix_attributable_fraction_mc_se_mean,casemix_attributable_fraction_recalibrated,casemix_attributable_fraction_recalibrated_lo95,casemix_attributable_fraction_recalibrated_hi95,casemix_attributable_fraction_recalibrated_mc_se_mean,fraction_selection_inclusive_lo95,fraction_selection_inclusive_hi95,max_abs_mbc_recalibrated_minus_obs_auc,max_abs_mbc_minus_obs_auc,lp_sd_ratio,max_abs_calibration_slope_minus_1,min_calibration_p,boot_n,n_boot,seed,row_type,level,level_n,level_n_pos,level_prevalence,level_obs_auc,level_obs_auc_var,level_mbc,level_mbc_recalibrated,level_mbc_minus_obs_auc,level_mbc_recalibrated_minus_obs_auc,level_lp_sd,level_calibration_intercept,level_calibration_slope,level_calibration_p
brfss2024,BRFSS 2024,True,8978,ev10,race,8,5,2,0.22373194766285132,0.1530328893557205,0.28670692276083404,0.2252649616099317,0.23535199253416444,0.05262532262091213,0.2139568003903347,0.061002441857787915,0.1711066250419392,0.1051971825772624,0.24002001541182583,0.0023500746412794104,0.0020860647023560426,0.009775147272516604,-0.008272664935036481,0.02861272729846147,True,0.2352159500270157,0.0462786737620326,0.4018693528733344,0.005041011012433258,0.0057614167831389895,0.002044409195467182,0.9563086659074408,0.8670441351054391,1.042930845968089,0.0011814191794704602,-0.12273535328947316,0.3888477230119441,0.029315524118470493,0.14148344854624306,1.334656893362393,1.859653877702224,0.01240107168785691,2000,2000,42,level,5,59.0,12.0,0.2033898305084746,0.9503546099290779,0.0006799473666736053,0.8088711613828349,0.9472406540657683,-0.14148344854624306,-0.0031139558633096476,1.4068216697534202,2.0569610920508894,2.859653877702224,0.019542372274932437
brfss2024,BRFSS 2024,True,8978,ev10,race,8,5,2,0.22373194766285132,0.1530328893557205,0.28670692276083404,0.2252649616099317,0.23535199253416444,0.05262532262091213,0.2139568003903347,0.061002441857787915,0.1711066250419392,0.1051971825772624,0.24002001541182583,0.0023500746412794104,0.0020860647023560426,0.009775147272516604,-0.008272664935036481,0.02861272729846147,True,0.2352159500270157,0.0462786737620326,0.4018693528733344,0.005041011012433258,0.0057614167831389895,0.002044409195467182,0.9563086659074408,0.8670441351054391,1.042930845968089,0.0011814191794704602,-0.12273535328947316,0.3888477230119441,0.029315524118470493,0.14148344854624306,1.334656893362393,1.859653877702224,0.01240107168785691,2000,2000,42,level,6,71.0,20.0,0.28169014084507044,0.8813725490196079,0.0023376859102774237,0.747868719525047,0.8808958272710491,-0.13350382949456097,-0.0004767217485588393,1.054069908715807,0.9243316651193206,2.0661328876113103,0.048316247324201596
brfss2024,BRFSS 2024,True,8978,ev10,race,8,5,2,0.22373194766285132,0.1530328893557205,0.28670692276083404,0.2252649616099317,0.23535199253416444,0.05262532262091213,0.2139568003903347,0.061002441857787915,0.1711066250419392,0.1051971825772624,0.24002001541182583,0.0023500746412794104,0.0020860647023560426,0.009775147272516604,-0.008272664935036481,0.02861272729846147,True,0.2352159500270157,0.0462786737620326,0.4018693528733344,0.005041011012433258,0.0057614167831389895,0.002044409195467182,0.9563086659074408,0.8670441351054391,1.042930845968089,0.0011814191794704602,-0.12273535328947316,0.3888477230119441,0.029315524118470493,0.14148344854624306,1.334656893362393,1.859653877702224,0.01240107168785691,2000,2000,42,level,7,6510.0,1483.0,0.22780337941628265,0.7603314321141895,4.62218603755639e-05,0.7541726743731485,0.7587054976206272,-0.006158757741041021,-0.0016259344935622977,1.1238463989692402,0.0814189048023995,1.0261788685429654,0.19198492170001794
brfss2024,BRFSS 2024,True,8978,ev10,race,8,5,2,0.22373194766285132,0.1530328893557205,0.28670692276083404,0.2252649616099317,0.23535199253416444,0.05262532262091213,0.2139568003903347,0.061002441857787915,0.1711066250419392,0.1051971825772624,0.24002001541182583,0.0023500746412794104,0.0020860647023560426,0.009775147272516604,-0.008272664935036481,0.02861272729846147,True,0.2352159500270157,0.0462786737620326,0.4018693528733344,0.005041011012433258,0.0057614167831389895,0.002044409195467182,0.9563086659074408,0.8670441351054391,1.042930845968089,0.0011814191794704602,-0.12273535328947316,0.3888477230119441,0.029315524118470493,0.14148344854624306,1.334656893362393,1.859653877702224,0.01240107168785691,2000,2000,42,partition,,,,,,,,,,,,,,
brfss2024,BRFSS 2024,True,8978,ev10,income,7,0,2,0.04617875962570894,0.002847256030304732,0.08865835835718401,0.04657178611876135,0.07575446976243867,0.0191218939605744,0.04554341525023098,0.026753021403136845,0.027056865665134544,-0.0170499708341764,0.06914648218436764,0.0011317390407978253,0.0010507964226657415,0.0006353443754779642,-0.010060786815648102,0.011577010894158045,True,0.4140841831950967,0.10731637705349825,2.0692631972475883,0.1788748254911511,0.1955990953570347,0.25625584430226594,0.9862416318535275,0.5266402444918674,1.411580969715084,0.056544843899677746,-0.11345184259497955,0.572140243944557,0.008225378115048532,0.03055105909292677,1.0626965192521916,0.1957311569935729,0.03849967673375491,2000,2000,42,level,0,1500.0,230.0,0.15333333333333332,0.7862752482026704,0.00022076294677229159,0.7699439776533994,0.7805759359026239,-0.01633127054927097,-0.0056993123000465,1.1623779471957425,0.09306256042834064,1.0574898493264535,0.7760292254488805
brfss2024,BRFSS 2024,True,8978,ev10,income,7,0,2,0.04617875962570894,0.002847256030304732,0.08865835835718401,0.04657178611876135,0.07575446976243867,0.0191218939605744,0.04554341525023098,0.026753021403136845,0.027056865665134544,-0.0170499708341764,0.06914648218436764,0.0011317390407978253,0.0010507964226657415,0.0006353443754779642,-0.010060786815648102,0.011577010894158045,True,0.4140841831950967,0.10731637705349825,2.0692631972475883,0.1788748254911511,0.1955990953570347,0.25625584430226594,0.9862416318535275,0.5266402444918674,1.411580969715084,0.056544843899677746,-0.11345184259497955,0.572140243944557,0.008225378115048532,0.03055105909292677,1.0626965192521916,0.1957311569935729,0.03849967673375491,2000,2000,42,level,1,1179.0,299.0,0.2536047497879559,0.7567687747035573,0.00024402749603666686,0.7525966007331497,0.7585050325878174,-0.004172173970407589,0.0017362578842601284,1.1209325808273192,-0.051662226837439734,1.0329657071827534,0.5196307816004361
brfss2024,BRFSS 2024,True,8978,ev10,income,7,0,2,0.04617875962570894,0.002847256030304732,0.08865835835718401,0.04657178611876135,0.07575446976243867,0.0191218939605744,0.04554341525023098,0.026753021403136845,0.027056865665134544,-0.0170499708341764,0.06914648218436764,0.0011317390407978253,0.0010507964226657415,0.0006353443754779642,-0.010060786815648102,0.011577010894158045,True,0.4140841831950967,0.10731637705349825,2.0692631972475883,0.1788748254911511,0.1955990953570347,0.25625584430226594,0.9862416318535275,0.5266402444918674,1.411580969715084,0.056544843899677746,-0.11345184259497955,0.572140243944557,0.008225378115048532,0.03055105909292677,1.0626965192521916,0.1957311569935729,0.03849967673375491,2000,2000,42,level,2,1212.0,291.0,0.2400990099009901,0.7400964885769614,0.0002615526741410048,0.750822083692825,0.7350325206523929,0.010725595115863573,-0.005063967924568535,1.123829845430175,-0.05974281163603796,0.9138839951508487,0.5485065999409908
brfss2024,BRFSS 2024,True,8978,ev10,income,7,0,2,0.04617875962570894,0.002847256030304732,0.08865835835718401,0.04657178611876135,0.07575446976243867,0.0191218939605744,0.04554341525023098,0.026753021403136845,0.027056865665134544,-0.0170499708341764,0.06914648218436764,0.0011317390407978253,0.0010507964226657415,0.0006353443754779642,-0.010060786815648102,0.011577010894158045,True,0.4140841831950967,0.10731637705349825,2.0692631972475883,0.1788748254911511,0.1955990953570347,0.25625584430226594,0.9862416318535275,0.5266402444918674,1.411580969715084,0.056544843899677746,-0.11345184259497955,0.572140243944557,0.008225378115048532,0.03055105909292677,1.0626965192521916,0.1957311569935729,0.03849967673375491,2000,2000,42,level,3,1396.0,322.0,0.23065902578796563,0.7430413384688342,0.00022987962153181487,0.7431909562502625,0.7425734463650949,0.00014961778142830173,-0.0004678921037393202,1.0938004652670696,0.048531045896624325,0.9969867733955613,0.7527514148970673
brfss2024,BRFSS 2024,True,8978,ev10,income,7,0,2,0.04617875962570894,0.002847256030304732,0.08865835835718401,0.04657178611876135,0.07575446976243867,0.0191218939605744,0.04554341525023098,0.026753021403136845,0.027056865665134544,-0.0170499708341764,0.06914648218436764,0.0011317390407978253,0.0010507964226657415,0.0006353443754779642,-0.010060786815648102,0.011577010894158045,True,0.4140841831950967,0.10731637705349825,2.0692631972475883,0.1788748254911511,0.1955990953570347,0.25625584430226594,0.9862416318535275,0.5266402444918674,1.411580969715084,0.056544843899677746,-0.11345184259497955,0.572140243944557,0.008225378115048532,0.03055105909292677,1.0626965192521916,0.1957311569935729,0.03849967673375491,2000,2000,42,level,4,2634.0,531.0,0.20159453302961275,0.765634332802301,0.00012475831569254214,0.7507304708091947,0.7622555148810497,-0.014903861993106227,-0.003378817921251276,1.1027339108562204,0.08941199603566076,1.0657884113934217,0.5455401934484911
brfss2024,BRFSS 2024,True,8978,ev10,income,7,0,2,0.04617875962570894,0.002847256030304732,0.08865835835718401,0.04657178611876135,0.07575446976243867,0.0191218939605744,0.04554341525023098,0.026753021403136845,0.027056865665134544,-0.0170499708341764,0.06914648218436764,0.0011317390407978253,0.0010507964226657415,0.0006353443754779642,-0.010060786815648102,0.011577010894158045,True,0.4140841831950967,0.10731637705349825,2.0692631972475883,0.1788748254911511,0.1955990953570347,0.25625584430226594,0.9862416318535275,0.5266402444918674,1.411580969715084,0.056544843899677746,-0.11345184259497955,0.572140243944557,0.008225378115048532,0.03055105909292677,1.0626965192521916,0.1957311569935729,0.03849967673375491,2000,2000,42,level,5,659.0,177.0,0.26858877086494687,0.783986215626978,0.0004071715175959454,0.7534351565340512,0.7856749179047843,-0.03055105909292677,0.0016887022778062644,1.1079752454869067,0.25698613610415455,1.195731156993573,0.16545138500797565
brfss2024,BRFSS 2024,True,8978,ev10,income,7,0,2,0.04617875962570894,0.002847256030304732,0.08865835835718401,0.04657178611876135,0.07575446976243867,0.0191218939605744,0.04554341525023098,0.026753021403136845,0.027056865665134544,-0.0170499708341764,0.06914648218436764,0.0011317390407978253,0.0010507964226657415,0.0006353443754779642,-0.010060786815648102,0.011577010894158045,True,0.4140841831950967,0.10731637705349825,2.0692631972475883,0.1788748254911511,0.1955990953570347,0.25625584430226594,0.9862416318535275,0.5266402444918674,1.411580969715084,0.056544843899677746,-0.11345184259497955,0.572140243944557,0.008225378115048532,0.03055105909292677,1.0626965192521916,0.1957311569935729,0.03849967673375491,2000,2000,42,level,6,398.0,42.0,0.10552763819095477,0.7834403424291064,0.0012389684107810214,0.7602025645471785,0.7752149643140579,-0.023237777881927935,-0.008225378115048532,1.1409213613934643,-0.3148532438959173,1.0736850432008447,0.03849967673375491
brfss2024,BRFSS 2024,True,8978,ev10,income,7,0,2,0.04617875962570894,0.002847256030304732,0.08865835835718401,0.04657178611876135,0.07575446976243867,0.0191218939605744,0.04554341525023098,0.026753021403136845,0.027056865665134544,-0.0170499708341764,0.06914648218436764,0.0011317390407978253,0.0010507964226657415,0.0006353443754779642,-0.010060786815648102,0.011577010894158045,True,0.4140841831950967,0.10731637705349825,2.0692631972475883,0.1788748254911511,0.1955990953570347,0.25625584430226594,0.9862416318535275,0.5266402444918674,1.411580969715084,0.056544843899677746,-0.11345184259497955,0.572140243944557,0.008225378115048532,0.03055105909292677,1.0626965192521916,0.1957311569935729,0.03849967673375491,2000,2000,42,partition,,,,,,,,,,,,,,
brfss2024,BRFSS 2024,True,8978,ev10,health_plan,2,0,1,0.010874280680572168,-0.07399366206386657,0.099828999686455,0.009415812907021641,0.03703834108772327,-0.018246389252707496,0.013766448710198609,0.018246389252707496,0.029120669933279664,-0.058832722817907704,0.11781802282068701,0.0021380681951095053,0.0035370698829686087,-0.0028921680296264407,-0.0182333586520196,0.01323027447307278,False,-1.677939882985201,,,,,,1.2659640774946657,,,,-6.793722395307209,5.34404019014706,0.003957934483064474,0.02048281864650181,1.0289989608655234,0.12175389588370311,0.41713028455092593,2000,2000,42,level,0,8765.0,1861.0,0.2123217341699943,0.7671663756823447,3.515945127339631e-05,0.7585285243955668,0.7661006092289067,-0.008637851286777853,-0.0010657664534380329,1.1499481003914724,0.044328108170199026,1.0426137677487055,0.41713028455092593
