cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_test,n_levels_admissible,partition_sd_ratio,min_level_lp_sd,max_level_lp_sd,min_level_lp_mean,max_level_lp_mean,level_lp_mean_spread,implied_auroc_min_gaussian,implied_auroc_max_gaussian,implied_casemix_gap_gaussian,implied_auroc_min_empirical,implied_auroc_max_empirical,implied_casemix_gap_empirical,observed_auc_gap
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,42,xgb_published|s42,19890,2,1.0232193749683842,0.5054623542692237,0.5171988742054031,-2.1892665127119253,-2.1546388307705566,0.03462768194136867,0.6379015478159091,0.6408356138248366,0.0029340660089274273,0.6412741767640001,0.6435183547122132,0.0022441779482130775,0.011698051713659119
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,42,xgb_published|s42,19890,9,3.3097603284899724,0.3362303311374182,1.1128418112336733,-2.982490940739741,-1.8995139843115743,1.0829769564281668,0.5934452130239563,0.7658042747754197,0.17235906175146343,0.5950489766960274,0.7952244954875531,0.20017551879152573,0.2231903797849082
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,43,xgb_published|s43,19980,5,1.326009444571914,0.3966580332238216,0.5259722983201075,-2.396893670704146,-2.1616227801645254,0.23527089053962058,0.6097459448265211,0.6431419519727783,0.033396007146257234,0.6101068889806205,0.6488128215796134,0.03870593259899291,0.10087837823813817
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,43,xgb_published|s43,19980,2,1.0260240471657913,0.4898712874224991,0.5026197209115492,-2.1990017051281145,-2.142950190328659,0.05605151479945558,0.633933011241891,0.6371233502711162,0.0031903390292251643,0.6363807226227063,0.6396564350555253,0.003275712432818989,0.0073564013246277815
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,43,xgb_published|s43,19980,10,2.4934314983675208,0.3748934269628053,0.9347710793200024,-3.6208647132753,-2.0565185380532824,1.5643461752220174,0.6042311779685837,0.7352384839934011,0.13100730602481736,0.6056931851629319,0.7635703996291803,0.15787721446624836,0.20283254071316748
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,43,xgb_published|s43,19980,4,1.072967237112135,0.49020350307782834,0.5259722983201075,-2.239928133310203,-2.1616227801645254,0.07830535314567744,0.6339771405437892,0.6431419519727783,0.009164811428989172,0.6359827615595028,0.6488128215796134,0.012830060020110556,0.10087837823813817
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,43,xgb_published|s43,19980,2,1.0260240471657913,0.4898712874224991,0.5026197209115492,-2.1990017051281145,-2.142950190328659,0.05605151479945558,0.633933011241891,0.6371233502711162,0.0031903390292251643,0.6363807226227063,0.6396564350555253,0.003275712432818989,0.0073564013246277815
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,43,xgb_published|s43,19980,8,2.4819775807806512,0.376623498358108,0.9347710793200024,-2.3195611328366295,-2.0565185380532824,0.263042594783347,0.6042311779685837,0.7352384839934011,0.13100730602481736,0.6056931851629319,0.7635703996291803,0.15787721446624836,0.18700490510315704
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,44,xgb_published|s44,19979,5,1.3580687907115745,0.4152672879021234,0.563961543503312,-2.358732501770597,-2.158751006622772,0.1999814951478247,0.614652732927592,0.6527250007724612,0.03807226784486917,0.6148381752574191,0.6590044678364452,0.044166292579026045,0.2072720291343103
diabetes130,Diabetes 130,True,m30,gender,diabetes130|gender,xgb_published,True,44,xgb_published|s44,19979,2,1.0284695128729822,0.5096644751483602,0.5241743744844981,-2.1937689394446354,-2.1537418053223183,0.040027134122317065,0.6389750208259709,0.6425956656343481,0.0036206448083772047,0.6408301193733842,0.6434453356927543,0.0026152163193701172,0.006028437467250236
diabetes130,Diabetes 130,True,m30,age_group,diabetes130|age_group,xgb_published,True,44,xgb_published|s44,19979,10,3.391684188169221,0.33669546252985944,1.1419646764908467,-3.7304707028553605,-1.9319768731627063,1.7984938296926543,0.5935632703431544,0.7708326226213617,0.17726935227820728,0.5945924199853251,0.7986738034485568,0.20408138346323168,0.2063259805795551
diabetes130,Diabetes 130,True,ev10,race,diabetes130|race,xgb_published,True,44,xgb_published|s44,19979,4,1.1561347887688058,0.4877991294629992,0.563961543503312,-2.358732501770597,-2.158751006622772,0.1999814951478247,0.6335678653945466,0.6527250007724612,0.019157135377914636,0.6367024412178016,0.6590044678364452,0.022302026618643556,0.2072720291343103
diabetes130,Diabetes 130,True,ev10,gender,diabetes130|gender,xgb_published,True,44,xgb_published|s44,19979,2,1.0284695128729822,0.5096644751483602,0.5241743744844981,-2.1937689394446354,-2.1537418053223183,0.040027134122317065,0.6389750208259709,0.6425956656343481,0.0036206448083772047,0.6408301193733842,0.6434453356927543,0.0026152163193701172,0.006028437467250236
diabetes130,Diabetes 130,True,ev10,age_group,diabetes130|age_group,xgb_published,True,44,xgb_published|s44,19979,8,3.391684188169221,0.33669546252985944,1.1419646764908467,-2.3495557673219865,-1.9319768731627063,0.4175788941592802,0.5935632703431544,0.7708326226213617,0.17726935227820728,0.5945924199853251,0.7986738034485568,0.20408138346323168,0.17024246328742854
diabetes130,Diabetes 130,True,m30,race,diabetes130|race,xgb_published,True,45,xgb_published|s45,19604,5,1.1072306636536153,0.496811107323181,0.5500844920719332,-2.2466262546670372,-2.167621359840798,0.07900489482623918,0.6356721610009658,0.6492198986134403,0.01354773761247452,0.6372913854467728,0.654834546150693,0.017543160703920258,0.20682818996544505
