method,permutation_scheme,cohort,cohort_label,is_clinical,n_test,conclusion_m20,conclusion_m30,conclusion_m50,conclusion_m100,conclusion_ev10,p_m20,p_m30,p_m50,p_m100,p_ev10,stat_m20,stat_m30,stat_m50,stat_m100,stat_ev10,n_rules_evaluable,n_distinct_verdicts,verdict_constant,verdict_constant_strict,n_rules_differing_from_m30,differs_from_m30,rules_flagged,p_min,p_max,p_range,p_straddles_alpha
four_fifths,,synthetic,Synthetic baseline,False,2000,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.9534818534356028,0.9534818534356028,0.9534818534356028,0.9534818534356028,0.9534818534356028,5,1,True,True,0,False,,,,,False
lum2022,,synthetic,Synthetic baseline,False,2000,flag,flag,flag,flag,flag,0.0001207604537869,0.0001207604537869,0.0001207604537869,0.0001207604537869,0.0001207604537869,0.000406771644575,0.000406771644575,0.000406771644575,0.000406771644575,0.000406771644575,5,1,True,True,0,False,m20;m30;m50;m100;ev10,0.0001207604537869,0.0001207604537869,0.0,False
lum2022_bootstrapCI,,synthetic,Synthetic baseline,False,2000,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.000406771644575,0.000406771644575,0.000406771644575,0.000406771644575,0.000406771644575,5,1,True,True,0,False,,,,,False
lum2022_cochranQ,,synthetic,Synthetic baseline,False,2000,flag,flag,flag,flag,flag,1.908456470959373e-05,1.908456470959373e-05,1.908456470959373e-05,1.908456470959373e-05,1.908456470959373e-05,0.0004663496001289,0.0004663496001289,0.0004663496001289,0.0004663496001289,0.0004663496001289,5,1,True,True,0,False,m20;m30;m50;m100;ev10,1.908456470959373e-05,1.908456470959373e-05,0.0,False
permutation_null,joint,synthetic,Synthetic baseline,False,2000,no_flag,no_flag,no_flag,no_flag,no_flag,0.1650834916508349,0.1650834916508349,0.1650834916508349,0.0781921807819218,0.1650834916508349,0.0455548005979318,0.0455548005979318,0.0455548005979318,0.0455548005979318,0.0455548005979318,5,1,True,True,0,False,,0.0781921807819218,0.1650834916508349,0.08689131086891311,False
diciccio2020,joint,nhanes2123,NHANES 21-23,True,820,no_flag,no_flag,no_flag,no_flag,no_flag,0.342965703429657,0.342965703429657,0.342965703429657,0.0907909209079092,0.2502749725027497,2.8045419932322453,2.8045419932322453,2.8045419932322453,2.5985920914917893,2.425935738169573,5,1,True,True,0,False,,0.0907909209079092,0.342965703429657,0.2521747825217478,False
fixed_threshold_005,,nhanes2123,NHANES 21-23,True,820,flag,flag,flag,flag,no_flag,,,,,,0.0748440748440747,0.0748440748440747,0.0748440748440747,0.0748440748440747,0.0464975845410629,5,2,False,False,1,True,m20;m30;m50;m100,,,,False
four_fifths,,nhanes2123,NHANES 21-23,True,820,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.9251559251559252,0.9251559251559252,0.9251559251559252,0.9251559251559252,0.9531630170316302,5,1,True,True,0,False,,,,,False
lum2022,,nhanes2123,NHANES 21-23,True,820,flag,flag,flag,no_flag,no_flag,2.412473760130661e-06,2.412473760130661e-06,2.412473760130661e-06,0.1953276079298468,0.932838355411452,0.0005210117821264,0.0005210117821264,0.0005210117821264,0.0005210117821264,0.0001637341310467,5,2,False,False,2,True,m20;m30;m50,2.412473760130661e-06,0.932838355411452,0.9328359429376919,True
lum2022_bootstrapCI,,nhanes2123,NHANES 21-23,True,820,no_flag,no_flag,no_flag,no_flag,no_flag,,,,,,0.0005210117821264,0.0005210117821264,0.0005210117821264,0.0005210117821264,0.0001637341310467,5,1,True,True,0,False,,,,,False
lum2022_cochranQ,,nhanes2123,NHANES 21-23,True,820,flag,flag,flag,no_flag,no_flag,0.0201552493605719,0.0201552493605719,0.0201552493605719,0.5510583055312778,0.1542819182661142,0.0,0.0,0.0,0.0,0.0003094315872708,5,2,False,False,2,True,m20;m30;m50,0.0201552493605719,0.5510583055312778,0.5309030561707059,True
permutation_null,joint,nhanes2123,NHANES 21-23,True,820,no_flag,no_flag,no_flag,no_flag,no_flag,0.3093690630936906,0.3093690630936906,0.3093690630936906,0.0954904509549045,0.5480451954804519,0.0748440748440748,0.0748440748440748,0.0748440748440748,0.0748440748440748,0.0464975845410627,5,1,True,True,0,False,,0.0954904509549045,0.5480451954804519,0.45255474452554745,False
diciccio2020,joint,german_credit,German Credit,False,200,no_flag,no_flag,no_flag,not_evaluable,no_flag,0.9288071192880712,0.9288071192880712,0.9288071192880712,,0.9288071192880712,0.3336285180476114,0.3336285180476114,0.3336285180476114,,0.3336285180476114,4,1,True,False,0,False,,0.9288071192880712,0.9288071192880712,0.0,False
fixed_threshold_005,,german_credit,German Credit,False,200,no_flag,no_flag,no_flag,not_evaluable,no_flag,,,,,,0.0291394369197572,0.0291394369197572,0.0291394369197572,,0.0291394369197572,4,1,True,False,0,False,,,,,False
four_fifths,,german_credit,German Credit,False,200,no_flag,no_flag,no_flag,not_evaluable,no_flag,,,,,,0.9577677224736048,0.9577677224736048,0.9577677224736048,,0.9577677224736048,4,1,True,False,0,False,,,,,False
lum2022,,german_credit,German Credit,False,200,no_flag,no_flag,no_flag,not_evaluable,no_flag,1.0,1.0,1.0,,1.0,-0.0033896687444364,-0.0033896687444364,-0.0033896687444364,,-0.0033896687444364,4,1,True,False,0,False,,1.0,1.0,0.0,False
lum2022_bootstrapCI,,german_credit,German Credit,False,200,no_flag,no_flag,no_flag,not_evaluable,no_flag,,,,,,-0.0033896687444364,-0.0033896687444364,-0.0033896687444364,,-0.0033896687444364,4,1,True,False,0,False,,,,,False
lum2022_cochranQ,,german_credit,German Credit,False,200,no_flag,no_flag,no_flag,not_evaluable,no_flag,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,,0.0,4,1,True,False,0,False,,1.0,1.0,0.0,False
permutation_null,joint,german_credit,German Credit,False,200,no_flag,no_flag,no_flag,not_evaluable,no_flag,0.9357064293570644,0.9357064293570644,0.9357064293570644,,0.9357064293570644,0.0291394369197572,0.0291394369197572,0.0291394369197572,,0.0291394369197572,4,1,True,False,0,False,,0.9357064293570644,0.9357064293570644,0.0,False
diciccio2020,joint,uci_heart,UCI Heart,True,61,not_evaluable,not_evaluable,not_evaluable,not_evaluable,not_evaluable,,,,,,,,,,,0,0,True,True,0,False,,,,,False
fixed_threshold_005,,uci_heart,UCI Heart,True,61,not_evaluable,not_evaluable,not_evaluable,not_evaluable,not_evaluable,,,,,,,,,,,0,0,True,True,0,False,,,,,False
four_fifths,,uci_heart,UCI Heart,True,61,not_evaluable,not_evaluable,not_evaluable,not_evaluable,not_evaluable,,,,,,,,,,,0,0,True,True,0,False,,,,,False
lum2022,,uci_heart,UCI Heart,True,61,not_evaluable,not_evaluable,not_evaluable,not_evaluable,not_evaluable,,,,,,,,,,,0,0,True,True,0,False,,,,,False
lum2022_bootstrapCI,,uci_heart,UCI Heart,True,61,not_evaluable,not_evaluable,not_evaluable,not_evaluable,not_evaluable,,,,,,,,,,,0,0,True,True,0,False,,,,,False
lum2022_cochranQ,,uci_heart,UCI Heart,True,61,not_evaluable,not_evaluable,not_evaluable,not_evaluable,not_evaluable,,,,,,,,,,,0,0,True,True,0,False,,,,,False
permutation_null,joint,uci_heart,UCI Heart,True,61,not_evaluable,not_evaluable,not_evaluable,not_evaluable,not_evaluable,,,,,,,,,,,0,0,True,True,0,False,,,,,False
