row_type,family,geometry,sd_ratio,equalize_prevalence,lp_dist,n,prevalence,n_levels,scales,unfair_w,miscal_slope,miscal_intercept,true_auc_by_level,oracle_auc_by_level,prevalence_by_level,true_auc_gap,true_max_excess_auc,prevalence_ratio,rule,method,is_one_of_the_five,n_sims,n_perm,alpha,seed,geometry_seed_word,pythonhashseed,n_evaluable,n_flag,flag_rate,flag_rate_mc_se,mean_n_admissible_p0,frac_reps_with_level_dropped,description
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1500_pf,1.4999999999999998,True,normal,2000,0.2,3,0.816497/1/1.22474,,,,0.708552/0.744643/0.782693,0.708552/0.744643/0.782693,0.2/0.2/0.2,0.07414144290259528,0.0,1.0000000000000073,m30,mbc_excess,False,1000,999,0.05,42,1538964219,0,1000,18,0.01874759170721228,0.00428906977238561,3.0,0.0,"SD-ratio sweep at 1.500, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1500_pf,1.4999999999999998,True,normal,2000,0.2,3,0.816497/1/1.22474,,,,0.708552/0.744643/0.782693,0.708552/0.744643/0.782693,0.2/0.2/0.2,0.07414144290259528,0.0,1.0000000000000073,m30,permutation_null,True,1000,999,0.05,42,1538964219,0,1000,536,0.536,0.015770351930125083,3.0,0.0,"SD-ratio sweep at 1.500, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1600_pf,1.6,True,normal,2000,0.2,3,0.790569/1/1.26491,,,,0.703078/0.744643/0.78882,0.703078/0.744643/0.78882,0.2/0.2/0.2,0.08574224395709062,0.0,1.0000000000000049,m30,calibration_cox,False,1000,999,0.05,42,1563347029,0,1000,39,0.039,0.006122009474020765,3.0,0.0,"SD-ratio sweep at 1.600, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1600_pf,1.6,True,normal,2000,0.2,3,0.790569/1/1.26491,,,,0.703078/0.744643/0.78882,0.703078/0.744643/0.78882,0.2/0.2/0.2,0.08574224395709062,0.0,1.0000000000000049,m30,diciccio2020,True,1000,999,0.05,42,1563347029,0,1000,654,0.654,0.015042739112276061,3.0,0.0,"SD-ratio sweep at 1.600, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1600_pf,1.6,True,normal,2000,0.2,3,0.790569/1/1.26491,,,,0.703078/0.744643/0.78882,0.703078/0.744643/0.78882,0.2/0.2/0.2,0.08574224395709062,0.0,1.0000000000000049,m30,fixed_threshold_005,True,1000,999,0.05,42,1563347029,0,1000,890,0.89,0.009894442884771228,3.0,0.0,"SD-ratio sweep at 1.600, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1600_pf,1.6,True,normal,2000,0.2,3,0.790569/1/1.26491,,,,0.703078/0.744643/0.78882,0.703078/0.744643/0.78882,0.2/0.2/0.2,0.08574224395709062,0.0,1.0000000000000049,m30,four_fifths,True,1000,999,0.05,42,1563347029,0,1000,6,0.006,0.002442130217658346,3.0,0.0,"SD-ratio sweep at 1.600, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1600_pf,1.6,True,normal,2000,0.2,3,0.790569/1/1.26491,,,,0.703078/0.744643/0.78882,0.703078/0.744643/0.78882,0.2/0.2/0.2,0.08574224395709062,0.0,1.0000000000000049,m30,lum2022,True,1000,999,0.05,42,1563347029,0,1000,696,0.696,0.014545927265045704,3.0,0.0,"SD-ratio sweep at 1.600, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1600_pf,1.6,True,normal,2000,0.2,3,0.790569/1/1.26491,,,,0.703078/0.744643/0.78882,0.703078/0.744643/0.78882,0.2/0.2/0.2,0.08574224395709062,0.0,1.0000000000000049,m30,lum2022_bootstrapCI,True,1000,999,0.05,42,1563347029,0,0,0,,,3.0,0.0,"SD-ratio sweep at 1.600, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1600_pf,1.6,True,normal,2000,0.2,3,0.790569/1/1.26491,,,,0.703078/0.744643/0.78882,0.703078/0.744643/0.78882,0.2/0.2/0.2,0.08574224395709062,0.0,1.0000000000000049,m30,lum2022_cochranQ,True,1000,999,0.05,42,1563347029,0,0,0,,,3.0,0.0,"SD-ratio sweep at 1.600, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
cell,sd_ratio_sweep_prevalence_fixed,sweep_sdr_1600_pf,1.6,True,normal,2000,0.2,3,0.790569/1/1.26491,,,,0.703078/0.744643/0.78882,0.703078/0.744643/0.78882,0.2/0.2/0.2,0.08574224395709062,0.0,1.0000000000000049,m30,mbc_excess,False,1000,999,0.05,42,1563347029,0,1000,19,0.019057020891383936,0.004323638611878807,3.0,0.0,"SD-ratio sweep at 1.600, every level's prevalence held at 0.20 by a per-level intercept: spread mechanism only"
