cohort,cohort_label,is_clinical,rule,partition,partition_key,n_levels_admissible,min_level_n,max_level_n,n_replicates,observed_sd_ratio,null_sd_ratio_median,null_sd_ratio_p95,sd_ratio_null_percentile,sd_ratio_exceeds_null_p95,observed_implied_gap_empirical,null_implied_gap_median,null_implied_gap_p95,implied_gap_null_percentile,implied_gap_exceeds_null_p95,implied_gap_minus_null_median
nhis2023,NHIS 2023,True,ev10,insured,nhis2023|insured,2,360,5063,2000,1.0366600353299058,1.019644823715041,1.058307456792255,0.792,False,0.04342133629559908,0.0047847460962381905,0.014001695719670663,1.0,True,0.03863659019936089
nhis2024,NHIS 2024,True,m30,age_group,nhis2024|age_group,6,107,586,2000,1.362415052575245,1.0777709471612014,1.1437007500681569,1.0,True,0.07432756646034788,0.021448914845554945,0.03782795708131136,1.0,True,0.05287865161479294
nhis2024,NHIS 2024,True,m30,sex,nhis2024|sex,2,881,1069,2000,1.1449810617386968,1.016208776193668,1.0457550831634097,1.0,True,0.0010728303730596078,0.0044829234627173364,0.012327288574016137,0.1255,False,-0.0034100930896577286
nhis2024,NHIS 2024,True,m30,race,nhis2024|race,4,70,1322,2000,1.0514257767093511,1.0720378745393244,1.16171532719879,0.2765,False,0.026952715503614666,0.019533158747273405,0.04200271676320367,0.736,False,0.007419556756341261
nhis2024,NHIS 2024,True,m30,income,nhis2024|income,5,170,658,2000,1.1397181007631756,1.064528105527709,1.1162819648382796,0.9875,True,0.02169729742340487,0.017487835022711617,0.0315356423192792,0.7225,False,0.0042094624006932535
nhis2024,NHIS 2024,True,m30,insurance,nhis2024|insurance,2,142,1808,2000,1.3218570610626625,1.029330495720504,1.088934944432529,1.0,True,0.01363954729515604,0.008193144259546148,0.024228188019518447,0.73,False,0.0054464030356098925
nhis2024,NHIS 2024,True,ev10,age_group,nhis2024|age_group,3,288,586,2000,1.0730309471144632,1.0455028568931977,1.0995736122539947,0.81,False,0.06218164499521206,0.01206960070445584,0.024778044953287615,1.0,True,0.05011204429075622
nhis2024,NHIS 2024,True,ev10,sex,nhis2024|sex,2,881,1069,2000,1.1449810617386968,1.0152568433098579,1.0442429190092553,1.0,True,0.0010728303730596078,0.004433716086378381,0.012786416262805966,0.12,False,-0.003360885713318773
nhis2024,NHIS 2024,True,ev10,race,nhis2024|race,3,202,1322,2000,1.0514257767093511,1.0434329517506256,1.0968710827509445,0.6135,False,0.025714600643482077,0.011882346477618932,0.02615018146432259,0.9445,False,0.013832254165863145
nhis2024,NHIS 2024,True,ev10,income,nhis2024|income,5,170,658,2000,1.1397181007631756,1.0632537384060492,1.1183009613804709,0.9835,True,0.02169729742340487,0.01755197829652544,0.03202217661938756,0.695,False,0.004145319126879432
nhanes2123,NHANES 21-23,True,m30,age_group,nhanes2123|age_group,4,149,254,2000,1.60152271596277,1.120802352973241,1.2264795125641936,1.0,True,0.020414103313996623,0.010421469458253285,0.01944446271441133,0.9615,True,0.009992633855743338
nhanes2123,NHANES 21-23,True,m30,sex,nhanes2123|sex,2,393,427,2000,1.089801412991661,1.041081043538901,1.1215447372384573,0.8525,False,0.0008403949466686544,0.003463456124293829,0.010016747720849341,0.132,False,-0.0026230611776251744
nhanes2123,NHANES 21-23,True,m30,race,nhanes2123|race,5,51,517,2000,1.316005146392062,1.21498203176337,1.4402461064206018,0.7895,False,0.020300955311715274,0.018256610346012447,0.03708811022307153,0.602,False,0.0020443449657028268
nhanes2123,NHANES 21-23,True,m30,insured,nhanes2123|insured,2,68,752,2000,1.139703464064713,1.073722017337639,1.2305824512109511,0.7965,False,0.005338137776162766,0.006277762863703185,0.021765234512102404,0.4405,False,-0.0009396250875404188
nhanes2123,NHANES 21-23,True,ev10,age_group,nhanes2123|age_group,3,149,254,2000,1.3222429858578326,1.087736165088263,1.1969004267714827,0.999,True,0.014885001080960691,0.008521102041945783,0.018253541314365265,0.8625,False,0.006363899039014909
nhanes2123,NHANES 21-23,True,ev10,sex,nhanes2123|sex,2,393,427,2000,1.089801412991661,1.0384396083427159,1.1154551292720085,0.868,False,0.0008403949466686544,0.003292654468612599,0.009506311793822522,0.1415,False,-0.0024522595219439447
nhanes2123,NHANES 21-23,True,ev10,race,nhanes2123|race,4,79,517,2000,1.2923497776068837,1.1692436016219119,1.3626539045063346,0.8705,False,0.020300955311715274,0.014934989026197998,0.03253606494996448,0.739,False,0.005365966285517276
