cohort,cohort_label,is_clinical,rule,partition,partition_key,model_class,is_published_class,seed,spec_id,n_train,n_test,train_prevalence,test_prevalence,n_levels_admissible,partition_sd_ratio,partition_iqr_ratio,partition_min_lp_sd,partition_max_lp_sd,partition_observed_auc_gap,partition_level_prevalence_ratio,overall_auc,frac_lp_clipped,fit_runtime_s
nhis2023,NHIS 2023,True,m30,race,nhis2023|race,logreg_l2,False,45.0,logreg_l2|s45,21691,5423,0.1117975197086349,0.1117462659044809,7,1.1814946137110287,1.2497541842408255,1.3378283164272715,1.580636949928915,0.2634408602150538,1.767008387698043,0.8486323876315387,0.0,0.0171170000103302
nhis2023,NHIS 2023,True,m30,insured,nhis2023|insured,logreg_l2,False,45.0,logreg_l2|s45,21691,5423,0.1117975197086349,0.1117462659044809,2,1.130375285950587,1.319742393103894,1.3330588764687208,1.5068568086772982,0.0155201369552969,2.3989179202955926,0.8486323876315387,0.0,0.0171170000103302
nhis2023,NHIS 2023,True,ev10,age_group,nhis2023|age_group,logreg_l2,False,45.0,logreg_l2|s45,21691,5423,0.1117975197086349,0.1117462659044809,4,1.2195069195636243,1.3837422887396122,1.0429270475407928,1.271856751076058,0.1493521518253496,17.164674921264936,0.8486323876315387,0.0,0.0171170000103302
nhis2023,NHIS 2023,True,ev10,sex,nhis2023|sex,logreg_l2,False,45.0,logreg_l2|s45,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0399048714823298,1.0581669085989671,1.4846221404106483,1.543865796123557,0.0309574547132814,1.1159235668789809,0.8486323876315387,0.0,0.0171170000103302
nhis2023,NHIS 2023,True,ev10,race,nhis2023|race,logreg_l2,False,45.0,logreg_l2|s45,21691,5423,0.1117975197086349,0.1117462659044809,4,1.090265325672538,1.172264638531558,1.4211385872730211,1.549418124679031,0.0283064837568461,1.589080459770115,0.8486323876315387,0.0,0.0171170000103302
nhis2023,NHIS 2023,True,ev10,insured,nhis2023|insured,logreg_l2,False,45.0,logreg_l2|s45,21691,5423,0.1117975197086349,0.1117462659044809,2,1.130375285950587,1.319742393103894,1.3330588764687208,1.5068568086772982,0.0155201369552969,2.3989179202955926,0.8486323876315387,0.0,0.0171170000103302
nhis2023,NHIS 2023,True,m30,age_group,nhis2023|age_group,logreg_l2,False,46.0,logreg_l2|s46,21691,5423,0.1117975197086349,0.1117462659044809,4,1.2713488362247294,1.366841441394396,1.041053746048202,1.3235424684857768,0.1436555905194013,9.656841993861784,0.8352215852683463,0.0,0.0182349999668076
nhis2023,NHIS 2023,True,m30,sex,nhis2023|sex,logreg_l2,False,46.0,logreg_l2|s46,21691,5423,0.1117975197086349,0.1117462659044809,2,1.0498119715993068,1.049805744937943,1.4838679214004122,1.5577823081583322,0.0202641601885983,1.040274861614812,0.8352215852683463,0.0,0.0182349999668076
nhis2023,NHIS 2023,True,m30,race,nhis2023|race,logreg_l2,False,46.0,logreg_l2|s46,21691,5423,0.1117975197086349,0.1117462659044809,7,1.1452407207964497,2.251643621572544,1.3530386281746665,1.5495549337961942,0.1794918330308529,3.097435897435897,0.8352215852683463,0.0,0.0182349999668076
nhis2023,NHIS 2023,True,m30,insured,nhis2023|insured,logreg_l2,False,46.0,logreg_l2|s46,21691,5423,0.1117975197086349,0.1117462659044809,2,1.085263988715199,1.149677186957433,1.3911215343737122,1.5097341051820226,0.007112042047913,1.5984942845880965,0.8352215852683463,0.0,0.0182349999668076
