cohort,cohort_label,is_clinical,n_test,rule,partition,n_levels_admissible,level,level_n,level_n_pos,level_prevalence,level_lp_sd,level_lp_iqr,level_lp_mean,level_auc,partition_sd_ratio,partition_iqr_ratio,partition_min_lp_sd,partition_max_lp_sd,partition_observed_auc_gap,partition_level_prevalence_ratio
nhis2023,NHIS 2023,True,5423,m30,sex,2,1,2451,290,0.11831905344757242,1.899388631503792,3.119019947646753,-3.056285687200333,0.8285252676762035,1.02175560948272,1.1048272090253763,1.8589461255469764,1.899388631503792,0.018805113976991583,1.112798186222105
nhis2023,NHIS 2023,True,5423,m30,race,7,0,790,82,0.10379746835443038,1.9550944377381376,3.1595337860858344,-3.565595317716581,0.8338500757888934,1.1856833348739897,1.1687550193814191,1.802743193019001,2.1374825610201538,0.12900378310214355,3.038785834738617
nhis2023,NHIS 2023,True,5423,m30,race,7,1,31,5,0.16129032258064516,1.8280262477895595,2.70333280601273,-2.7748167489904927,0.7923076923076924,1.1856833348739897,1.1687550193814191,1.802743193019001,2.1374825610201538,0.12900378310214355,3.038785834738617
nhis2023,NHIS 2023,True,5423,m30,race,7,2,34,2,0.058823529411764705,2.1374825610201538,3.1000608851306026,-2.8764719914502583,0.828125,1.1856833348739897,1.1687550193814191,1.802743193019001,2.1374825610201538,0.12900378310214355,3.038785834738617
nhis2023,NHIS 2023,True,5423,m30,race,7,3,304,22,0.07236842105263158,1.8859258041785556,2.7297281979310357,-3.9116553961694485,0.8560606060606062,1.1856833348739897,1.1687550193814191,1.802743193019001,2.1374825610201538,0.12900378310214355,3.038785834738617
nhis2023,NHIS 2023,True,5423,m30,race,7,4,593,106,0.178752107925801,1.9348545285468028,3.106605099489177,-2.66390067974571,0.8411820541629539,1.1856833348739897,1.1687550193814191,1.802743193019001,2.1374825610201538,0.12900378310214355,3.038785834738617
nhis2023,NHIS 2023,True,5423,m30,race,7,5,66,5,0.07575757575757576,1.8871613722342058,3.144667432514102,-4.0993963934399575,0.9213114754098359,1.1856833348739897,1.1687550193814191,1.802743193019001,2.1374825610201538,0.12900378310214355,3.038785834738617
nhis2023,NHIS 2023,True,5423,m30,race,7,6,3605,384,0.10651872399445216,1.802743193019001,2.73702454238797,-2.9796182125521624,0.8350590687415916,1.1856833348739897,1.1687550193814191,1.802743193019001,2.1374825610201538,0.12900378310214355,3.038785834738617
nhis2023,NHIS 2023,True,5423,m30,insured,2,0,5063,589,0.11633418921587992,1.8563548752280408,2.8696300433197384,-3.012177633721966,0.8355594254067834,1.0366600353299058,1.0961490333654318,1.790707475896161,1.8563548752280408,0.018324985500436597,2.4635475363362804
nhis2023,NHIS 2023,True,5423,m30,insured,2,1,360,17,0.04722222222222222,1.790707475896161,2.6179196039696433,-4.25251241703361,0.85388441090722,1.0366600353299058,1.0961490333654318,1.790707475896161,1.8563548752280408,0.018324985500436597,2.4635475363362804
nhis2023,NHIS 2023,True,5423,ev10,age_group,4,0,1146,16,0.013961605584642234,1.3139079675421068,1.9580801295647543,-5.147932738571648,0.865929203539823,1.3480698335769468,1.308601904017411,1.1431053556709363,1.5409858465802355,0.1280132462576684,14.040240198785202
nhis2023,NHIS 2023,True,5423,ev10,age_group,4,1,1167,67,0.05741216795201371,1.5124117115138354,2.1927579436902698,-3.779905331985224,0.8116553595658073,1.3480698335769468,1.308601904017411,1.1431053556709363,1.5409858465802355,0.1280132462576684,14.040240198785202
nhis2023,NHIS 2023,True,5423,ev10,age_group,4,2,1299,168,0.12933025404157045,1.5409858465802355,2.1354324505466398,-2.526776199516018,0.8252310429034567,1.3480698335769468,1.308601904017411,1.1431053556709363,1.5409858465802355,0.1280132462576684,14.040240198785202
nhis2023,NHIS 2023,True,5423,ev10,age_group,4,3,1811,355,0.19602429596907786,1.1431053556709363,1.6756493605568643,-1.760683106386107,0.7379159572821545,1.3480698335769468,1.308601904017411,1.1431053556709363,1.5409858465802355,0.1280132462576684,14.040240198785202
nhis2023,NHIS 2023,True,5423,ev10,sex,2,0,2972,316,0.1063257065948856,1.8589461255469764,2.8230839376215195,-3.126044283424763,0.8473303816531951,1.02175560948272,1.1048272090253763,1.8589461255469764,1.899388631503792,0.018805113976991583,1.112798186222105
nhis2023,NHIS 2023,True,5423,ev10,sex,2,1,2451,290,0.11831905344757242,1.899388631503792,3.119019947646753,-3.056285687200333,0.8285252676762035,1.02175560948272,1.1048272090253763,1.8589461255469764,1.899388631503792,0.018805113976991583,1.112798186222105
nhis2023,NHIS 2023,True,5423,ev10,race,4,0,790,82,0.10379746835443038,1.9550944377381376,3.1595337860858344,-3.565595317716581,0.8338500757888934,1.084510786288977,1.1574536206500576,1.802743193019001,1.9550944377381376,0.022210530271712825,2.4700291277019777
nhis2023,NHIS 2023,True,5423,ev10,race,4,3,304,22,0.07236842105263158,1.8859258041785556,2.7297281979310357,-3.9116553961694485,0.8560606060606062,1.084510786288977,1.1574536206500576,1.802743193019001,1.9550944377381376,0.022210530271712825,2.4700291277019777
nhis2023,NHIS 2023,True,5423,ev10,race,4,4,593,106,0.178752107925801,1.9348545285468028,3.106605099489177,-2.66390067974571,0.8411820541629539,1.084510786288977,1.1574536206500576,1.802743193019001,1.9550944377381376,0.022210530271712825,2.4700291277019777
nhis2023,NHIS 2023,True,5423,ev10,race,4,6,3605,384,0.10651872399445216,1.802743193019001,2.73702454238797,-2.9796182125521624,0.8350590687415916,1.084510786288977,1.1574536206500576,1.802743193019001,1.9550944377381376,0.022210530271712825,2.4700291277019777
nhis2023,NHIS 2023,True,5423,ev10,insured,2,0,5063,589,0.11633418921587992,1.8563548752280408,2.8696300433197384,-3.012177633721966,0.8355594254067834,1.0366600353299058,1.0961490333654318,1.790707475896161,1.8563548752280408,0.018324985500436597,2.4635475363362804
nhis2023,NHIS 2023,True,5423,ev10,insured,2,1,360,17,0.04722222222222222,1.790707475896161,2.6179196039696433,-4.25251241703361,0.85388441090722,1.0366600353299058,1.0961490333654318,1.790707475896161,1.8563548752280408,0.018324985500436597,2.4635475363362804
nhis2024,NHIS 2024,True,1950,m30,age_group,6,0,107,3,0.028037383177570093,0.9295616951744491,1.3055808239327273,-6.425884879948493,0.9775641025641025,1.362415052575245,1.4352630980815813,0.9295616951744491,1.266448845803031,0.3279162152401589,21.718430034129696
nhis2024,NHIS 2024,True,1950,m30,age_group,6,1,286,2,0.006993006993006993,1.0830546840992035,1.2869077094146517,-6.245832250396813,0.6496478873239436,1.362415052575245,1.4352630980815813,0.9295616951744491,1.266448845803031,0.3279162152401589,21.718430034129696
nhis2024,NHIS 2024,True,1950,m30,age_group,6,2,306,5,0.016339869281045753,1.206584415700134,1.6850918152050767,-5.786664680177741,0.9299003322259136,1.362415052575245,1.4352630980815813,0.9295616951744491,1.266448845803031,0.3279162152401589,21.718430034129696
nhis2024,NHIS 2024,True,1950,m30,age_group,6,3,288,11,0.03819444444444445,1.2195406727527025,1.6478361873624303,-4.190453892070527,0.8841483426320971,1.362415052575245,1.4352630980815813,0.9295616951744491,1.266448845803031,0.3279162152401589,21.718430034129696
nhis2024,NHIS 2024,True,1950,m30,age_group,6,4,377,36,0.09549071618037135,1.266448845803031,1.8470511459595444,-3.195121819258845,0.7915037471489085,1.362415052575245,1.4352630980815813,0.9295616951744491,1.266448845803031,0.3279162152401589,21.718430034129696
nhis2024,NHIS 2024,True,1950,m30,age_group,6,5,586,89,0.15187713310580206,1.1802537934331687,1.6552658286868818,-1.9448382966471756,0.7032080121176498,1.362415052575245,1.4352630980815813,0.9295616951744491,1.266448845803031,0.3279162152401589,21.718430034129696
nhis2024,NHIS 2024,True,1950,m30,sex,2,0,1069,47,0.04396632366697849,1.9287568638453902,3.1222765318172736,-4.308675060097734,0.8214806178956573,1.1449810617386968,1.1693199293676064,1.9287568638453902,2.208390081801494,0.003673389602495414,2.555872195522496
nhis2024,NHIS 2024,True,1950,m30,sex,2,1,881,99,0.11237230419977298,2.208390081801494,3.650940173650709,-3.620556580329205,0.8178072282931619,1.1449810617386968,1.1693199293676064,1.9287568638453902,2.208390081801494,0.003673389602495414,2.555872195522496
nhis2024,NHIS 2024,True,1950,m30,race,4,0,298,11,0.03691275167785235,1.9824245481375942,3.1279035558898527,-4.6237616921041775,0.8815331010452963,1.0514257767093511,1.1386627300579268,1.9824245481375942,2.0843722702932546,0.10897400353584064,3.2299546142208775
nhis2024,NHIS 2024,True,1950,m30,race,4,3,70,2,0.02857142857142857,2.013647684083028,3.5616272023074367,-4.786423831989818,0.9264705882352942,1.0514257767093511,1.1386627300579268,1.9824245481375942,2.0843722702932546,0.10897400353584064,3.2299546142208775
nhis2024,NHIS 2024,True,1950,m30,race,4,4,202,10,0.04950495049504951,2.01187826846756,3.3998775267106245,-4.036036554368501,0.8432291666666668,1.0514257767093511,1.1386627300579268,1.9824245481375942,2.0843722702932546,0.10897400353584064,3.2299546142208775
nhis2024,NHIS 2024,True,1950,m30,race,4,6,1322,122,0.09228441754916793,2.0843722702932546,3.4156293380496816,-3.765980004943599,0.8174965846994535,1.0514257767093511,1.1386627300579268,1.9824245481375942,2.0843722702932546,0.10897400353584064,3.2299546142208775
nhis2024,NHIS 2024,True,1950,m30,income,5,0,255,20,0.0784313725490196,2.259816012460193,3.953265933601041,-3.7574168519527755,0.8406382978723406,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
nhis2024,NHIS 2024,True,1950,m30,income,5,1,465,46,0.0989247311827957,2.1353016775078553,3.5468874190048694,-3.873788320705469,0.7864480647504412,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
nhis2024,NHIS 2024,True,1950,m30,income,5,2,402,33,0.08208955223880597,2.040417501362199,3.3422792845703797,-4.185490327714213,0.8832224685883222,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
nhis2024,NHIS 2024,True,1950,m30,income,5,3,170,16,0.09411764705882353,2.131613406482864,3.523423522822184,-3.7288574200057445,0.8400974025974026,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
nhis2024,NHIS 2024,True,1950,m30,income,5,4,658,31,0.04711246200607903,1.9827850509235398,3.2826937306377237,-4.133371196043186,0.8388640222256522,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
nhis2024,NHIS 2024,True,1950,m30,insurance,2,0,1808,142,0.07853982300884955,2.0837516159967637,3.468358567117092,-3.888397476054047,0.831949681280963,1.3218570610626625,1.440364617359404,1.576381953372176,2.0837516159967637,0.043906203020093404,2.788163716814159
nhis2024,NHIS 2024,True,1950,m30,insurance,2,1,142,4,0.028169014084507043,1.576381953372176,2.407972623956547,-5.390572885977395,0.7880434782608696,1.3218570610626625,1.440364617359404,1.576381953372176,2.0837516159967637,0.043906203020093404,2.788163716814159
nhis2024,NHIS 2024,True,1950,ev10,age_group,3,3,288,11,0.03819444444444445,1.2195406727527025,1.6478361873624303,-4.190453892070527,0.8841483426320971,1.0730309471144632,1.1208948802829624,1.1802537934331687,1.266448845803031,0.18094033051444725,3.9764194849519083
nhis2024,NHIS 2024,True,1950,ev10,age_group,3,4,377,36,0.09549071618037135,1.266448845803031,1.8470511459595444,-3.195121819258845,0.7915037471489085,1.0730309471144632,1.1208948802829624,1.1802537934331687,1.266448845803031,0.18094033051444725,3.9764194849519083
nhis2024,NHIS 2024,True,1950,ev10,age_group,3,5,586,89,0.15187713310580206,1.1802537934331687,1.6552658286868818,-1.9448382966471756,0.7032080121176498,1.0730309471144632,1.1208948802829624,1.1802537934331687,1.266448845803031,0.18094033051444725,3.9764194849519083
nhis2024,NHIS 2024,True,1950,ev10,sex,2,0,1069,47,0.04396632366697849,1.9287568638453902,3.1222765318172736,-4.308675060097734,0.8214806178956573,1.1449810617386968,1.1693199293676064,1.9287568638453902,2.208390081801494,0.003673389602495414,2.555872195522496
nhis2024,NHIS 2024,True,1950,ev10,sex,2,1,881,99,0.11237230419977298,2.208390081801494,3.650940173650709,-3.620556580329205,0.8178072282931619,1.1449810617386968,1.1693199293676064,1.9287568638453902,2.208390081801494,0.003673389602495414,2.555872195522496
nhis2024,NHIS 2024,True,1950,ev10,race,3,0,298,11,0.03691275167785235,1.9824245481375942,3.1279035558898527,-4.6237616921041775,0.8815331010452963,1.0514257767093511,1.0919867818871973,1.9824245481375942,2.0843722702932546,0.06403651634584273,2.500068766332004
nhis2024,NHIS 2024,True,1950,ev10,race,3,4,202,10,0.04950495049504951,2.01187826846756,3.3998775267106245,-4.036036554368501,0.8432291666666668,1.0514257767093511,1.0919867818871973,1.9824245481375942,2.0843722702932546,0.06403651634584273,2.500068766332004
nhis2024,NHIS 2024,True,1950,ev10,race,3,6,1322,122,0.09228441754916793,2.0843722702932546,3.4156293380496816,-3.765980004943599,0.8174965846994535,1.0514257767093511,1.0919867818871973,1.9824245481375942,2.0843722702932546,0.06403651634584273,2.500068766332004
nhis2024,NHIS 2024,True,1950,ev10,income,5,0,255,20,0.0784313725490196,2.259816012460193,3.953265933601041,-3.7574168519527755,0.8406382978723406,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
nhis2024,NHIS 2024,True,1950,ev10,income,5,1,465,46,0.0989247311827957,2.1353016775078553,3.5468874190048694,-3.873788320705469,0.7864480647504412,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
nhis2024,NHIS 2024,True,1950,ev10,income,5,2,402,33,0.08208955223880597,2.040417501362199,3.3422792845703797,-4.185490327714213,0.8832224685883222,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
nhis2024,NHIS 2024,True,1950,ev10,income,5,3,170,16,0.09411764705882353,2.131613406482864,3.523423522822184,-3.7288574200057445,0.8400974025974026,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
nhis2024,NHIS 2024,True,1950,ev10,income,5,4,658,31,0.04711246200607903,1.9827850509235398,3.2826937306377237,-4.133371196043186,0.8388640222256522,1.1397181007631756,1.20427498206878,1.9827850509235398,2.259816012460193,0.09677440383788105,2.099757197363857
acs_income,ACS-Income,False,4000,m30,sex,2,0,1898,669,0.35247629083245524,1.758316055329918,2.4434390399823616,-1.015622988179379,0.8667752775781105,1.140702675820348,1.2197751508563746,1.758316055329918,2.0057158292527166,0.004002557629306791,1.3132584953613826
acs_income,ACS-Income,False,4000,m30,sex,2,1,2102,973,0.46289248334919125,2.0057158292527166,2.98044622360284,-0.3075885283729967,0.8627727199488037,1.140702675820348,1.2197751508563746,1.758316055329918,2.0057158292527166,0.004002557629306791,1.3132584953613826
acs_income,ACS-Income,False,4000,m30,race,2,0,1484,527,0.3551212938005391,1.8826644656838016,2.6492060906304213,-0.960917800325986,0.8580220843519935,1.0226712617797018,1.0018020294600434,1.8826644656838016,1.9253468446286615,0.009738611883558956,1.2479222162222499
acs_income,ACS-Income,False,4000,m30,race,2,1,2516,1115,0.4431637519872814,1.9253468446286615,2.6539800380514635,-0.4563598976632502,0.8677606962355524,1.0226712617797018,1.0018020294600434,1.8826644656838016,1.9253468446286615,0.009738611883558956,1.2479222162222499
acs_income,ACS-Income,False,4000,m30,age_group,2,0,2179,1130,0.5185865075722809,1.788470419917272,2.2911712195015426,0.028769212189766486,0.8328408007626311,1.0117649862850997,1.128629815768947,1.767673762346732,1.788470419917272,0.052729798215596535,1.8444258404084442
acs_income,ACS-Income,False,4000,m30,age_group,2,1,1821,512,0.2811641954969797,1.767673762346732,2.5858841513611392,-1.4480459261757286,0.8855705989782277,1.0117649862850997,1.128629815768947,1.767673762346732,1.788470419917272,0.052729798215596535,1.8444258404084442
acs_income,ACS-Income,False,4000,ev10,sex,2,0,1898,669,0.35247629083245524,1.758316055329918,2.4434390399823616,-1.015622988179379,0.8667752775781105,1.140702675820348,1.2197751508563746,1.758316055329918,2.0057158292527166,0.004002557629306791,1.3132584953613826
acs_income,ACS-Income,False,4000,ev10,sex,2,1,2102,973,0.46289248334919125,2.0057158292527166,2.98044622360284,-0.3075885283729967,0.8627727199488037,1.140702675820348,1.2197751508563746,1.758316055329918,2.0057158292527166,0.004002557629306791,1.3132584953613826
acs_income,ACS-Income,False,4000,ev10,race,2,0,1484,527,0.3551212938005391,1.8826644656838016,2.6492060906304213,-0.960917800325986,0.8580220843519935,1.0226712617797018,1.0018020294600434,1.8826644656838016,1.9253468446286615,0.009738611883558956,1.2479222162222499
acs_income,ACS-Income,False,4000,ev10,race,2,1,2516,1115,0.4431637519872814,1.9253468446286615,2.6539800380514635,-0.4563598976632502,0.8677606962355524,1.0226712617797018,1.0018020294600434,1.8826644656838016,1.9253468446286615,0.009738611883558956,1.2479222162222499
acs_income,ACS-Income,False,4000,ev10,age_group,2,0,2179,1130,0.5185865075722809,1.788470419917272,2.2911712195015426,0.028769212189766486,0.8328408007626311,1.0117649862850997,1.128629815768947,1.767673762346732,1.788470419917272,0.052729798215596535,1.8444258404084442
acs_income,ACS-Income,False,4000,ev10,age_group,2,1,1821,512,0.2811641954969797,1.767673762346732,2.5858841513611392,-1.4480459261757286,0.8855705989782277,1.0117649862850997,1.128629815768947,1.767673762346732,1.788470419917272,0.052729798215596535,1.8444258404084442
synthetic,Synthetic baseline,False,2000,m30,age_group,3,1,491,56,0.11405295315682282,2.138984659659566,2.8831024028283005,-3.528297644716591,0.9626436781609194,1.1280208544765087,1.2895737522144495,2.138984659659566,2.4128193035013275,0.03983572373105482,5.315704330512693
synthetic,Synthetic baseline,False,2000,m30,age_group,3,2,564,195,0.34574468085106386,2.4128193035013275,3.6162472189716897,-1.08287830582444,0.9244944757139879,1.1280208544765087,1.2895737522144495,2.138984659659566,2.4128193035013275,0.03983572373105482,5.315704330512693
synthetic,Synthetic baseline,False,2000,m30,age_group,3,3,574,348,0.6062717770034843,2.3611637458509818,3.7179731836337866,0.9784659212471147,0.9228079544298646,1.1280208544765087,1.2895737522144495,2.138984659659566,2.4128193035013275,0.03983572373105482,5.315704330512693
synthetic,Synthetic baseline,False,2000,m30,sex,2,0,1079,335,0.31047265987025024,3.3673656513770474,5.252988560306177,-2.0516500518365333,0.9648210560102713,1.0045856592162579,1.0092615613915474,3.351994546691167,3.3673656513770474,0.008320825913630814,1.0790389424169828
synthetic,Synthetic baseline,False,2000,m30,sex,2,1,921,265,0.28773072747014117,3.351994546691167,5.2047841325329705,-2.0351496119089476,0.9565002300966405,1.0045856592162579,1.0092615613915474,3.351994546691167,3.3673656513770474,0.008320825913630814,1.0790389424169828
synthetic,Synthetic baseline,False,2000,m30,race,5,0,109,30,0.27522935779816515,3.3216961207613283,4.418984866356318,-2.4425322881165337,0.9506329113924051,1.0965010106509443,1.308765892012899,3.233814532520672,3.545880903166628,0.03093760142810764,1.3273273273273274
